DO,PH,CONDUCTIVITY,BOD,NITRATE_N_NITRITE_N,FECAL_COLIFORM,TOTAL_COLIFORM,WQI
7.1,6.6,76.0,1.0,0.12,2367.0,3527.0,91.10600173913043
6.7,6.6,107.0,1.3,0.22,2461.0,3757.0,97.83170289855072
7.2,6.7,89.0,0.9,0.06,832.0,1996.0,57.2116947826087
4.2,6.7,192.0,2.0,0.16,4448.0,9286.0,162.93249681159423
6.3,6.6,79.0,1.6,0.19,2830.0,6054.0,111.06245072463769
5.6,7.7,142.0,1.7,0.14,1831.0,3644.0,111.8115527536232
2.8,6.4,424.0,3.2,0.35,12658.0,21036.0,359.179927536232
5.2,7.1,306.0,2.6,0.34,1411.0,1525.0,101.5964672463768
5.6,7.7,40.0,1.5,0.07,4153.0,7130.0,162.0941794202899
5.5,7.7,40.0,1.5,0.08,7086.0,12282.0,228.52909971014495
6.9,6.7,63.0,0.9,0.21,691.0,1132.0,55.35945565217392
6.3,7.6,227.0,1.7,0.08,3622.0,3612.0,146.294144057971
7.1,6.6,68.0,1.1,0.13,4124.0,8167.0,131.84103507246377
6.9,7.7,121.0,3.3,1.0,77.0,163.0,80.28080898550725
7.2,8.2,112.0,3.3,1.0,39.0,94.0,86.66058811594202
6.9,7.7,103.0,3.7,0.57,48.0,103.0,83.11653565217392
6.9,7.6,104.0,3.5,0.75,37.0,79.0,79.3816556521739
6.4,7.4,1003.0,4.3,2.89,524.0,753.0,96.73942376811594
6.3,8.3,408.0,2.7,1.58,64.0,157.0,88.11006405797104
6.7,7.8,105.0,3.6,1.0,43.0,89.0,84.86338289855074
6.3,7.6,209.0,4.4,1.86,48.0,98.0,90.62671739130435
5.9,7.6,13768.0,5.0,1.79,166.0,300.0,103.48983188405796
7.3,7.7,86.0,3.2,1.0,50.0,93.0,76.85146115942031
3.6,7.4,6487.0,30.5,1.5,534.0,745.0,343.40600521739134
6.3,8.3,999.0,3.3,1.78,4.0,112.0,92.23725072463768
